2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
18200,15100,43342,11000,0,0,150,50,200,0,800
8035,3271,3300,0,900,200,0,100,320,100,1197
5055,4660,6700,4722,5000,10800,1000,9000,6000,7000,7000
5100,200,4370,0,2000,4700,1500,5700,1900,500,3810
35346,14191,124159,10700,0,0,630,270,310,500,500
2400,2630,700,1300,0,0,502,72,220,100,0
100,0,0,0,0,0,4700,6945,600,1300,2609
0,0,0,5000,6220,7420,7450,5600,4500,8696,5700
0,0,0,0,0,0,0,80,600,800,4519
0,800,0,0,16450,6300,1805,0,1600,1100,3600
7000,6800,7500,0,0,0,0,0,0,0,0
2250,1500,4140,0,4321,2170,0,0,0,0,0
R,450,33179,5200,0,0,0,0,0,0,0
0,0,0,0,1000,2500,0,0,0,0,0
0,0,0,0,0,0,0,1824,425,3838,791
R,R,R,R,0,0,865,225,500,440,1300
R,R,R,R,51192,51989,33085,16050,18841,2489,6529
R,R,R,R,4000,0,500,5000,2000,500,0
R,R,R,R,851,0,5300,2000,0,1000,11111
R,R,R,R,100,1000,500,5000,2185,0,100
R,R,R,R,3300,1200,3255,1613,2915,2460,2150
R,R,R,R,108500,93700,100650,71475,83690,19000,3000
R,R,R,R,1200,2550,5000,2900,2600,1200,2950
R,R,R,R,0,200,0,168,0,0,0
R,R,R,R,0,0,2850,2973,300,1200,600
R,R,R,R,0,0,3400,1200,1000,1150,1200
R,R,R,R,0,0,500,1500,500,1000,200
0,5929,19925,30200,0,0,0,6174,5550,2800,3328
0,313,0,0,0,0,0,170,815,322,1561
0,27877,56690,69649,0,0,0,1062,2000,0,1000
0,900,200,0,0,0,0,0,0,0,0
2200,3000,3500,2100,0,0,0,0,150,450,335
0,8500,3902,10000,0,0,0,0,0,0,9511
0,2213,0,0,0,0,0,0,0,0,3458
0,200,580,525,0,0,0,0,0,0,0
0,200,100,160,0,0,0,0,0,0,0
0,0,11000,0,0,0,0,0,0,0,0
0,5960,5650,1450,300,0,0,0,0,0,0
0,1060,1440,3900,0,0,0,2222,1700,350,0
1500,33727,25880,14771,0,0,0,100,18800,5000,0
0,102400,650140,78300,0,0,0,0,400,0,0
0,1200,1700,300,1100,100,0,0,0,0,0
0,1300,3000,750,0,0,0,0,0,0,0
0,4748,18586,100,2839,1000,0,0,0,0,0
0,0,865,0,0,0,0,0,0,0,0
0,400,2090,990,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1100,1900,5264,0,0,0,0,0,0,0
R,0,600,100,0,199,0,0,0,0,0
